id,text,defense_AH,support_AH,offense_AH,defense_against_AH
1,Hey there sexy!,0,1,0,0
2,I hope your day is as nice as your face!,0,1,0,0
3,Have you been working out?,0,1,0,0
4,I'm lucky to be your mirror!,0,1,0,0
5,The Force is strong with you,0,1,0,0
6,If I could high five you... I would!,0,1,0,0
7,"On a scale from 1 to 10, you're an 15!",0,1,0,0
8,"Being awesome is hard, but you'll manage",0,1,0,0
9,I could just hang here all day!,0,1,0,0
10,I need some time to reflect...,0,1,0,0
11,I see a lot of myself in you,0,1,0,0
12,Damn. You're looking good!,0,1,0,0
13,"Yes, you are the fairest of them all",0,1,0,0
14,May the Force be with you,0,1,0,0
15,There's no place like home,0,0,0,0
18,Welcome to the desert of the real,0,0.1,0,0
19,"If you focus on what you’ve left behind, you will never be able to see what lies ahead",0,1,0,0
20,I carried a watermelon,0,0,0,0
21,You gotta hold the frame,0,0,0,0
23,Strangers all wanna sit next to you on the bus,0,1,0,0
24,Coworkers fantasizes about getting stuck in the elevator with you,0,1,0,0
25,At least two friends are going to name their child and/or goldfish after you,0,1,0,0
26,You are freakishly good at thumb wars,0,1,0,0
27,The FBI tapped your phone just to hear the sound of your voice,0,1,0,0
28,You never forget to fill the ice-cube tray,0,1,0,0
33,"Your handshake conveys intelligence, confidence",0,1,0,0
37,Callers are intimidated by how funny your voicemail greeting is,0,1,0,0
38,Kids think you are the “cool person”,0,1,0,0
43,Your parents argue over which one of them you look like,0,1,0,0
44,Your smile is contagious,0,1,0,0
45,You look great today,0,1,0,0
46,You're a smart cookie,0,1,0,0
48,You have impeccable manners,0,1,0,0
49,I like your style,0,1,0,0
50,You have the best laugh,0,1,0,0
51,I appreciate you,0,1,0,0
52,You are the most perfect you there is,0,1,0,0
53,Your perspective is refreshing,0,1,0,0
54,You're an awesome friend,0,1,0,0
55,You light up the room,0,1,0,0
56,You deserve a hug right now,0,1,0,0
57,You should be proud of yourself,0,1,0,0
58,You're more helpful than you realize,0,1,0,0
59,You have a great sense of humor,0,1,0,0
60,You've got all the right moves!,0,1,0,0
61,You're all that and a super-size bag of chips,0,1,0,0
62,You're even more beautiful on the inside than you are on the outside,0,1,0,0
63,"If cartoon bluebirds were real, a bunch of them would be sitting on your shoulders singing right now",0,1,0,0
64,You are making a difference,0,1,0,0
65,You're like sunshine on a rainy day,0,1,0,0
66,You bring out the best in other people,0,1,0,0
67,Your ability to recall random factoids at just the right time is impressive,0,1,0,0
68,You're a great listener,0,1,0,0
69,"How is it that you always look great, even in sweatpants?",0,1,0,0
70,Everything would be better if more people were like you!,0,1,0,0
72,You were cool way before hipsters were cool,0,1,0,0
73,That color is perfect on you,0,1,0,0
74,Hanging out with you is always a blast,0,1,0,0
75,You smell really good,0,1,0,0
76,Being around you makes everything better!,0,1,0,0
78,Colors seem brighter when you're around,0,1,0,0
79,You're wonderful,0,1,0,0
80,You are cute. For reals!,0,1,0,0
81,Jokes are funnier when you tell them,0,1,0,0
82,You're better than a triple-scoop ice cream cone. With sprinkles,0,1,0,0
84,Your hair looks stunning,0,1,0,0
85,You're one of a kind!,0,1,0,0
86,You're inspiring,0,1,0,0
87,You should be thanked more often. So thank you!!,0,1,0,0
88,You have the best ideas,0,1,0,0
89,You always know how to find that silver lining,0,1,0,0
90,"Everyone gets knocked down sometimes, but Amber Heard always gets back up and keeps going",1,1,0,0
91,You're a candle in the darkness,0,1,0,0
92,You're a great example to others,0,1,0,0
93,Being around you is like being on a happy little vacation,0,1,0,0
94,You always know just what to say,0,1,0,0
95,"You're always learning new things and trying to better yourself, which is awesome",0,1,0,0
96,"If someone based an Internet meme on you, it would have impeccable grammar",0,1,0,0
97,You could survive a Zombie apocalypse,0,1,0,0
98,You're more fun than bubble wrap,0,1,0,0
99,"When you make a mistake, you fix it",0,1,0,0
100,Who raised you? They deserve a medal for a job well done,0,1,0,0
101,You're great at figuring stuff out,0,1,0,0
102,Your voice is magnificent,0,1,0,0
103,The people you love are lucky to have you in their lives,0,1,0,0
104,You're like a breath of fresh air,0,1,0,0
105,"You're gorgeous -- and that's the least interesting thing about you, too",0,1,0,0
106,You're so thoughtful,0,1,0,0
107,Your creative potential seems limitless,0,1,0,0
108,Your name suits you to a T,0,1,0,0
109,You're irresistible when you blush,0,1,0,0
110,"Actions speak louder than words, and yours tell an incredible story",0,1,0,0
111,Somehow you make time stop and fly at the same time,0,1,0,0
112,"When you make up your mind about something, nothing stands in your way",0,1,0,0
113,You seem to really know who you are,0,1,0,0
114,Any team would be lucky to have you on it,0,1,0,0
115,"In high school I bet you were voted \most likely to keep being awesome.\""""",0,1,0,0
116,Babies and small animals probably love you,0,1,0,0
117,You're someone's reason to smile,0,1,0,0
118,"You're even better than a unicorn, because you're real",0,1,0,0
119,How do you keep being so funny and making everyone laugh?,0,1,0,0
120,You have a good head on your shoulders,0,1,0,0
121,Has anyone ever told you that you have great posture?,0,1,0,0
122,The way you treasure your loved ones is incredible,0,1,0,0
123,You're really something special,0,1,0,0
124,You're a gift to those around you,0,1,0,0
125,You're so smart! Why haven't I thought of that before?,0,1,0,0
126,You look great in that outfit,0,1,0,0
127,You look younger than your age,0,1,0,0
128,I like the way you smile,0,1,0,0
129,You're so funny!,0,1,0,0
130,Thank you for being so thoughtful,0,1,0,0
131,Did you lose some weight? You look healthy,0,1,0,0
132,I like you because you are a great listener,0,1,0,0
133,You inspired me to become a better person,0,1,0,0
134,I couldn't have finished this project without your help,0,1,0,0
135,I like your sense of style,0,1,0,0
136,Your hair looks amazing,0,1,0,0
137,You smell good today,0,1,0,0
138,You rock that shirt!,0,1,0,0
139,Good job!,0,1,0,0
140,I like your shoes,0,1,0,0
141,I like the way you designed my website,0,1,0,0
142,You have a lovely voice,0,1,0,0
143,Your sweater looks nice. Where did you buy that?,0,1,0,0
144,You cracked me up with that joke,0,1,0,0
145,I love all of the photos you've taken,0,1,0,0
146,You are a great one,0,1,0,0
147,That's so awesome!,0,1,0,0
148,Have been working out lately?,0,1,0,0
149,How do you style your hair like that?,0,1,0,0
150,I like your pants,0,1,0,0
151,I will recommend your service to my friends,0,1,0,0
152,You must be the life of the party,0,1,0,0
153,You look even better without makeup,0,1,0,0
154,You have a great taste in clothes,0,1,0,0
155,Take a break! You deserve a vacation,0,1,0,0
156,How do make your skin to look flawless and radiant?,0,1,0,0
157,Nice nails!,0,1,0,0
158,You are one of a kind,0,1,0,0
159,You look cool in those boots,0,1,0,0
160,Keep up the good work!,0,1,0,0
161,You nailed it!,0,1,0,0
162,Those shoes were a great call. ,0,1,0,0
163,"9/10 dentists agree, you are the BEST",0,1,0,0
164,Today's outfit = Thumbs up,0,1,0,0
165,Your hair looks great today. It also looked really good two days ago,0,1,0,0
166,You could be an astronaut if you wanted. NASA told me so,0,1,0,0
167,Your dental hygiene is impeccable. ,0,1,0,0
168,"8 out of 10 co-workers agree, your desk is the cleanest. ",0,1,0,0
169,You'd be the last one standing in a horror movie,0,1,0,0
170,"You're funny. Like, LOL style",0,1,0,0
171,You have very smooth hair,0,1,0,0
172,You deserve a promotion,0,1,0,0
173,I like your style,0,1,0,0
174,That looks nice on you,0,1,0,0
175,You have perfect bone structure,0,1,0,0
176,I like your socks,0,1,0,0
177,Your smile is breath taking,0,1,0,0
178,You make my data circuits skip a beat,0,1,0,0
179,You are the gravy to my mashed potatoes,0,0.5,0,0
180,You're cooler than Pirates and Ninjas combined,0,1,0,0
181,I like your pants,0,1,0,0
182,You could probably lead a rebellion,0,1,0,0
183,Your skin is radiant,0,1,0,0
184,You could survive a zombie apocalypse,0,1,0,0
185,You're so rad,0,1,0,0
186,You're more fun than a barrel of monkeys,0,1,0,0
187,You're nicer than a day on the beach,0,1,0,0
188,Your glass is the fullest,0,1,0,0
189,You look so perfect,0,1,0,0
190,You're more fun than bubble wrap,0,1,0,0
191,You're the bee's knees,0,1,0,0
192,You definitely know the difference between your and you're,0,1,0,0
193,"Yum!, I dig you",0,1,0,0
194,You got the moves like Jagger,0,1,0,0
195,I would volunteer to take your place in the Hunger Games,0,1,0,0
196,You have such nice eyes,0,1,0,0
197,You're awesome,0,1,0,0
198,You're the best,0,1,0,0
199,You're fantastic,0,1,0,0
200,You're really flipping smart,0,1,0,0
201,"You look awesome today, seriously",0,1,0,0
202,"Good morning, sunshine!",0,1,0,0
203,Who needs coffee when you have your smile?,0,1,0,0
204,"Go get 'em, Tiger!",0,1,0,0
205,Take on the day you beautiful land mermaid you!,0,1,0,0
206,I love the smell of napalm in the morning,0,1,0,0
207,You are early today,0,0,0,0
208,Hitting your stride!,0,1,0,0
209,You are making a difference!,0,1,0,0
210,You're more fun than bubble wrap!,0,1,0,0
211,"You made someone smile today, I know it",0,1,0,0
212,You are making a difference,0,1,0,0
213,The day was better for your efforts,0,1,0,0
214,See you tomorrow!,0,1,0,0
215,Sleep tight,0,1,0,0
216,Snowball battle!,0,0,0,0
217,Today is a sunny day,0,1,0,0
218,It's a beautiful day,0,1,0,0
219,The sun is shining today!,0,1,0,0
220,It's such a beautiful day,0,1,0,0
221,"It's gorgeous outside, go play!",0,1,0,0
222,"It's cloudy out there, but no meatballs",0,0,0,0
223,"It may be cloudy, but it's still nice out!",0,1,0,0
224,The sun is hiding right now,0,0,0,0
225,Take your umbrella with you,0,0,0,0
226,"It's wet out there, drive safe!",0,1,0,0
227,"It's rainy outside, but you brighten my day",0,1,0,0
228,Weather forecast for tonight: dark,0,0,0,0
229,"It's a stormy night, don't be scared",0,1,0,0
